trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
252213,6320,2014-04-17 15:09:00 UTC,Japantown,9,2014-04-17 16:54:00 UTC,Japantown,9,659,94587,Customer
150636,545,2014-01-12 15:08:00 UTC,Japantown,9,2014-01-12 15:18:00 UTC,Japantown,9,80,95148,Customer
363633,1361,2014-07-14 23:39:00 UTC,Japantown,9,2014-07-15 00:02:00 UTC,Japantown,9,12,95121,Customer
163424,3813,2014-01-23 13:41:00 UTC,Japantown,9,2014-01-23 14:44:00 UTC,Japantown,9,59,95158,Customer
560981,621,2014-11-29 16:18:00 UTC,Japantown,9,2014-11-29 16:29:00 UTC,Japantown,9,117,95122,Subscriber
252212,6324,2014-04-17 15:08:00 UTC,Japantown,9,2014-04-17 16:54:00 UTC,Japantown,9,176,94587,Customer
307863,58941,2014-06-02 19:27:00 UTC,Japantown,9,2014-06-03 11:49:00 UTC,Japantown,9,299,95112,Customer
519238,1430,2014-10-28 16:07:00 UTC,Japantown,9,2014-10-28 16:31:00 UTC,Japantown,9,26,95122,Subscriber
207412,955,2014-03-09 18:41:00 UTC,Japantown,9,2014-03-09 18:57:00 UTC,Japantown,9,156,95122,Subscriber
920997,10443,2015-09-06 15:00:00 UTC,Japantown,9,2015-09-06 17:54:00 UTC,Japantown,9,668,94110,Customer
284893,317,2014-05-15 08:02:00 UTC,Japantown,9,2014-05-15 08:08:00 UTC,Japantown,9,709,95122,Subscriber
81496,932,2013-11-02 23:05:00 UTC,Japantown,9,2013-11-02 23:21:00 UTC,Japantown,9,153,95112,Subscriber
1279192,320,2016-07-16 09:49:00 UTC,Japantown,9,2016-07-16 09:55:00 UTC,Japantown,9,64,95132,Customer
608884,19220,2015-01-18 15:19:00 UTC,Japantown,9,2015-01-18 20:40:00 UTC,Japantown,9,68,95112,Customer
555992,857,2014-11-24 09:38:00 UTC,Japantown,9,2014-11-24 09:53:00 UTC,Japantown,9,159,95122,Subscriber
871977,10162,2015-08-01 19:51:00 UTC,Japantown,9,2015-08-01 22:40:00 UTC,Japantown,9,130,95051,Customer
158467,1392,2014-01-18 18:43:00 UTC,Japantown,9,2014-01-18 19:07:00 UTC,Japantown,9,159,94564,Customer
70765,1582,2013-10-24 15:05:00 UTC,Japantown,9,2013-10-24 15:31:00 UTC,Japantown,9,261,94041,Subscriber
965329,2318,2015-10-10 11:46:00 UTC,Japantown,9,2015-10-10 12:25:00 UTC,Japantown,9,50,95110,Customer
4310,537,2013-08-29 12:05:00 UTC,Japantown,9,2013-08-29 12:14:00 UTC,Japantown,9,638,95112,Subscriber
199784,640,2014-03-03 08:27:00 UTC,Japantown,9,2014-03-03 08:38:00 UTC,Japantown,9,74,95122,Subscriber
132662,1094,2013-12-20 18:24:00 UTC,Japantown,9,2013-12-20 18:42:00 UTC,Japantown,9,256,95112,Subscriber
138232,219,2013-12-30 11:15:00 UTC,Japantown,9,2013-12-30 11:19:00 UTC,Japantown,9,672,95122,Subscriber
740713,46072,2015-04-25 11:15:00 UTC,Japantown,9,2015-04-26 00:03:00 UTC,Japantown,9,256,95112,Customer
128249,778,2013-12-17 10:01:00 UTC,Japantown,9,2013-12-17 10:13:00 UTC,Japantown,9,174,95122,Subscriber
1093744,4561,2016-02-15 16:50:00 UTC,Japantown,9,2016-02-15 18:06:00 UTC,Japantown,9,117,94070,Customer
98351,164,2013-11-16 10:52:00 UTC,Japantown,9,2013-11-16 10:55:00 UTC,Japantown,9,187,95112,Customer
1009969,681,2015-11-15 13:36:00 UTC,Japantown,9,2015-11-15 13:47:00 UTC,Japantown,9,78,95112,Subscriber
881594,2775,2015-08-08 16:37:00 UTC,Japantown,9,2015-08-08 17:23:00 UTC,Japantown,9,104,95136,Customer
516073,1410,2014-10-26 22:24:00 UTC,Japantown,9,2014-10-26 22:47:00 UTC,Japantown,9,710,94110,Subscriber
123399,414,2013-12-12 16:14:00 UTC,Japantown,9,2013-12-12 16:20:00 UTC,Japantown,9,654,95122,Subscriber
461911,1231,2014-09-20 07:23:00 UTC,Japantown,9,2014-09-20 07:43:00 UTC,Japantown,9,28,95122,Subscriber
1268874,3072,2016-07-08 02:41:00 UTC,Japantown,9,2016-07-08 03:32:00 UTC,Japantown,9,257,95121,Customer
881584,320,2015-08-08 16:18:00 UTC,Japantown,9,2015-08-08 16:23:00 UTC,Japantown,9,104,95136,Customer
731645,638,2015-04-19 12:05:00 UTC,Japantown,9,2015-04-19 12:16:00 UTC,Japantown,9,653,95126,Subscriber
1268873,3024,2016-07-08 02:41:00 UTC,Japantown,9,2016-07-08 03:31:00 UTC,Japantown,9,196,95219,Customer
873348,8377,2015-08-03 14:26:00 UTC,Japantown,9,2015-08-03 16:45:00 UTC,Japantown,9,103,94560,Customer
270637,4427,2014-05-03 15:46:00 UTC,Japantown,9,2014-05-03 17:00:00 UTC,Japantown,9,658,95124,Customer
128577,506,2013-12-17 15:11:00 UTC,Japantown,9,2013-12-17 15:19:00 UTC,Japantown,9,256,95112,Subscriber
881593,2844,2015-08-08 16:36:00 UTC,Japantown,9,2015-08-08 17:24:00 UTC,Japantown,9,130,95136,Customer
218407,11642,2014-03-18 14:58:00 UTC,Japantown,9,2014-03-18 18:12:00 UTC,Japantown,9,82,96706,Customer
617181,157,2015-01-24 16:02:00 UTC,Japantown,9,2015-01-24 16:05:00 UTC,Japantown,9,211,95106,Subscriber
824959,1484,2015-06-27 14:30:00 UTC,Japantown,9,2015-06-27 14:54:00 UTC,Japantown,9,154,95120,Customer
824958,1518,2015-06-27 14:29:00 UTC,Japantown,9,2015-06-27 14:55:00 UTC,Japantown,9,206,95120,Customer
1279841,3486,2016-07-18 00:34:00 UTC,Japantown,9,2016-07-18 01:32:00 UTC,Japantown,9,149,9133,Customer
1184988,1415,2016-05-02 17:54:00 UTC,Japantown,9,2016-05-02 18:17:00 UTC,Japantown,9,644,97035,Customer
473196,489435,2014-09-28 18:21:00 UTC,Japantown,9,2014-10-04 10:19:00 UTC,Japantown,9,685,95116,Customer
497671,836,2014-10-14 11:25:00 UTC,Japantown,9,2014-10-14 11:39:00 UTC,Japantown,9,116,95122,Subscriber
142790,482,2014-01-05 08:26:00 UTC,Japantown,9,2014-01-05 08:34:00 UTC,Japantown,9,672,95122,Subscriber
183811,1737,2014-02-13 17:09:00 UTC,Japantown,9,2014-02-13 17:38:00 UTC,Japantown,9,157,95112,Subscriber
110543,1172,2013-11-29 04:06:00 UTC,Japantown,9,2013-11-29 04:26:00 UTC,Japantown,9,697,95112,Subscriber
287846,3298,2014-05-16 23:50:00 UTC,Japantown,9,2014-05-17 00:45:00 UTC,Japantown,9,709,95112,Customer
9116,564,2013-09-02 16:03:00 UTC,Japantown,9,2013-09-02 16:12:00 UTC,Japantown,9,82,95125,Subscriber
635342,2639,2015-02-08 15:15:00 UTC,Japantown,9,2015-02-08 15:59:00 UTC,Japantown,9,211,94110,Subscriber
362196,1801,2014-07-14 08:23:00 UTC,Japantown,9,2014-07-14 08:53:00 UTC,Japantown,9,221,95122,Subscriber
42305,786,2013-10-01 23:37:00 UTC,Japantown,9,2013-10-01 23:50:00 UTC,Japantown,9,99,95112,Subscriber
1245969,894,2016-06-19 20:43:00 UTC,Japantown,9,2016-06-19 20:58:00 UTC,Japantown,9,661,95112,Subscriber
135775,1333,2013-12-26 09:03:00 UTC,Japantown,9,2013-12-26 09:25:00 UTC,Japantown,9,698,95122,Subscriber
